0	490	9110	0
1	489	9100	5
2	486	9150	11
3	480	9310	16.5
4	473	9540	23
5	462	9870	29
6	448	10200	38
7	430	10600	45.5
8	414	11200	55
9	394	11800	62.5
10	374	12500	70.5
11	353	13200	80
12	332	13900	90
13	312	14500	80
14	291	15100	70.5
15	274	15800	68
16	257	16300	58
17	241	16800	51
18	227	17300	44
19	216	17700	36.5
20	206	18000	29
21	198	18300	22
22	191	18500	14.5
23	187	18700	7
24	184	18800	0
25	184	18800	-9
26	186	18800	-15.5
27	190	18800	-24
28	195	18600	-34
29	202	18500	-43.5
30	211	18200	-50
31	221	17900	-60
32	231	17500	-68
33	244	17100	-75
34	258	16500	-83
35	272	16000	-90
36	288	15500	-88
37	304	14900	-79
38	323	14200	-71
39	338	13600	-64
40	352	13000	-56
41	364	12400	-49
42	375	11600	-41.5
43	386	11400	-34
44	394	10900	-28
45	400	10600	-20
46	406	10300	-13.5
47	410	10100	-7
48	412	10000	-2
49	414	10000	0
