51	9530	480	-5
52	9430	483	-5
53	9300	487	-2.5
54	9210	489	-2.5
55	9110	490	0
56	9100	489	5
57	9150	486	10
58	9310	480	15
59	9540	473	20
60	9870	462	27
61	10100	451	35
62	10600	430	45
63	11200	414	54
64	11600	394	60
65	12600	370	70
66	13200	353	77
67	13900	332	87
68	14500	312	100
69	15100	291	108
70	15600	274	112
71	16200	261	120
72	16800	241	130
73	17300	227	135
74	17700	216	142
75	18000	206	150
76	18300	198	158
77	18500	191	165
78	18600	187	170
79	18700	185	175
80	18600	184	187
81	18600	186	195
82	18600	190	205
83	18600	195	214
84	18500	202	222
85	18300	209	230
86	18000	216	235
87	17600	229	245
88	17100	244	255
89	16600	258	265
90	16200	266	268
91	15600	285	275
92	15000	301	280
93	14400	320	285
94	13700	335	295
95	13100	349	303
96	12600	360	310
97	12100	371	315
98	11500	382	322
99	11000	393	330
100	10600	400	339
101	10300	405	345
102	10100	410	350
103	10000	412	355
104	10000	414	360
105	10000	414	5
106	10100	413	7
107	10200	410	10
108	10200	408	360
