95	490	9.11	.08	2.7	0	
96	489	9.1	.10	3.4	4
97	485	9.17	.14	4.3	12
98	479	9.36	.16	3.6	17
99	470	9.59	.18	4.3	25
100	460	9.94	.2	3.7	34
101	436	10.4	.28	5.8	40
102	427	10.6	.30	4.9	46
103	414	11.2	.32	4.4	54
104	390	12.0	.36	4.0	59
105	370	12.6	.4	4.0	69
106	349	13.3	.44	3.8	78
107	328	14.0	.46	3.1	89 
108	308	14.7	.46	2.9	104
109	291	15.1	.52	2.9	109
110	271	15.9	.47	1.6	113
111	257	16.3	.5	2.1	123
112	241	16.8	.55	1.7	130
113	225	17.4	.53	1.4	136
114	216	17.7	.53	1.3	144
115	206	18.0	.54	1.3	152
116	198	18.3	.53	1.1	159
117	191	18.5	.52	1.0	165
118	187	18.7	.50	0.9	173
119	184	18.8	.49	0.8	184
120	184	18.8	.49	0.9	190
121	186	18.8	.50	0.9	201
122	190	18.9	.47	0.8	204
123	196	18.6	.48	1.0	215
124	203	18.4	.54	1.3	225
125	211	18.2	.57	1.3	230
126	223	17.8	.58	1.6	241
127	233	17.5	.61	1.7	250
128	247	17.0	.61	1.9	256
129	258	16.5	.61	2.1	262
130	275	16.0	.62	2.2	268
131	291	15.5	.58	2.4	275
132	304	14.9	.57	2.8	280
133	320	14.4	.56	3.0	288
134	336	13.6	.54	2.3	295
135	352	13.0	.54	3.7	304
136	364	12.4	.52	3.7	312
137	375	11.8	.5	4.0	319
138	386	11.4	.47	3.8	325
139	396	10.9	.44	3.8	332
140	400	10.6	.43	4.3	340
141	406	10.3	.42	3.1	347
142	410	10.1	.39	3.8	353
143	412	10.0	.36	3.9	358
144	414	10.0	.30	2.4	0
145	414	10.0	.25	2.9	4
146	413	10.1	.23	2.6	7
147	410	10.2	.22	2.7	12
148	406	10.3	.23	2.7	15
149	399	10.5	.23	2.6	20
150	394	10.8	.23	2.9	23


